lat,lon,year,yield_maize
45.25,10.75,1987,7.11818
45.25,10.75,1988,6.6612897
45.25,10.75,1989,7.311737
45.25,10.75,1990,7.002868
45.25,10.75,1991,6.538722
45.25,10.75,1992,7.826979
45.25,10.75,1993,7.844493
45.25,10.75,1994,7.42639
45.25,10.75,1995,7.5604243
45.25,10.75,1996,8.27573
45.25,10.75,1997,8.465126
45.25,10.75,1998,8.639301
45.25,10.75,1999,8.640229
45.25,10.75,2000,8.370826
45.25,10.75,2001,8.111293
45.25,10.75,2002,8.195901
45.25,10.75,2003,6.4502106
45.25,10.75,2004,8.508584
45.25,10.75,2005,8.251242
45.25,10.75,2006,7.809166
45.25,10.75,2007,7.531968
45.25,10.75,2008,8.272676
45.25,10.75,2009,6.831551
45.25,10.75,2010,7.5170374
45.25,10.75,2011,8.10614
45.25,10.75,2012,7.0202494
45.25,10.75,2013,7.07726
45.25,10.75,2014,8.391628
45.25,10.75,2015,7.5357747
45.25,10.75,2016,8.679302
45.25,11.25,1982,4.801351
45.25,11.25,1983,4.9087267
45.25,11.25,1984,5.327264
45.25,11.25,1985,5.224092
45.25,11.25,1986,6.002492
45.25,11.25,1987,6.626191
45.25,11.25,1988,6.40109
45.25,11.25,1989,6.614387
45.25,11.25,1990,6.186036
45.25,11.25,1991,5.7862134
45.25,11.25,1992,7.1168137
45.25,11.25,1993,6.708624
45.25,11.25,1994,6.01379
45.25,11.25,1995,6.8139253
45.25,11.25,1996,7.444684
45.25,11.25,1997,7.596265
45.25,11.25,1998,8.126739
45.25,11.25,1999,8.028351
45.25,11.25,2000,7.884213
45.25,11.25,2001,7.6335063
45.25,11.25,2002,7.7279506
45.25,11.25,2003,5.8591943
45.25,11.25,2004,7.133088
45.25,11.25,2005,7.431284
45.25,11.25,2006,6.952218
45.25,11.25,2007,6.6127415
45.25,11.25,2008,7.4935327
45.25,11.25,2009,6.0513306
45.25,11.25,2010,7.204581
45.25,11.25,2011,7.5782146
45.25,11.25,2012,6.2893257
45.25,11.25,2013,6.482508
45.25,11.25,2014,8.241712
45.25,11.25,2015,7.252713
45.25,11.25,2016,8.293946
45.25,11.75,1982,5.519755
45.25,11.75,1983,5.0077124
45.25,11.75,1984,4.9238048
45.25,11.75,1985,5.080874
45.25,11.75,1986,6.603864
45.25,11.75,1987,6.721739
45.25,11.75,1988,6.5881605
45.25,11.75,1989,6.952885
45.25,11.75,1990,6.606137
45.25,11.75,1991,6.128191
45.25,11.75,1992,7.76819
45.25,11.75,1993,6.6061
45.25,11.75,1994,6.117566
45.25,11.75,1995,6.7697234
45.25,11.75,1996,7.8858833
45.25,11.75,1997,8.375258
45.25,11.75,1998,7.984089
45.25,11.75,1999,8.316123
45.25,11.75,2000,8.29116
45.25,11.75,2001,8.383632
45.25,11.75,2002,8.628258
45.25,11.75,2003,5.645721
45.25,11.75,2004,7.920906
45.25,11.75,2005,7.8224807
45.25,11.75,2006,7.4545174
45.25,11.75,2007,6.8768454
45.25,11.75,2008,7.951819
45.25,11.75,2009,6.102307
45.25,11.75,2010,7.457653
45.25,11.75,2011,7.5094657
45.25,11.75,2012,5.7884555
45.25,11.75,2013,6.3961034
45.25,11.75,2014,8.534264
45.25,11.75,2015,7.9463267
45.25,11.75,2016,8.13673
45.75,7.75,1982,7.9988403
45.75,7.75,1983,9.264055
45.75,7.75,1984,6.8280654
45.75,7.75,1985,9.590843
45.75,7.75,1986,8.99905
45.75,7.75,1987,8.807402
45.75,7.75,1988,9.4982815
45.75,7.75,1989,9.527286
45.75,7.75,1990,8.88962
45.75,7.75,1991,8.037306
45.75,7.75,1992,8.847802
45.75,7.75,1993,11.297462
45.75,7.75,1994,9.937777
45.75,7.75,1995,11.782532
45.75,7.75,1996,12.37599
45.75,7.75,1997,14.096845
45.75,7.75,1998,12.951544
45.75,7.75,1999,12.180705
45.75,7.75,2000,12.489388
45.75,7.75,2001,13.663385
45.75,7.75,2002,11.639803
45.75,7.75,2003,11.068574
