lat,lon,year,soil_water
45.25,7.75,2009,0.34770694
45.25,7.75,2010,0.38119227
45.25,7.75,2011,0.36770582
45.25,7.75,2012,0.38350493
45.25,7.75,2013,0.36610925
45.25,7.75,2014,0.4093325
45.25,7.75,2015,0.38839802
45.25,7.75,2016,0.3729918
45.25,8.25,1982,0.3166515
45.25,8.25,1983,0.3165338
45.25,8.25,1984,0.32664293
45.25,8.25,1985,0.29164726
45.25,8.25,1986,0.30698338
45.25,8.25,1987,0.29590186
45.25,8.25,1988,0.32169604
45.25,8.25,1989,0.2782151
45.25,8.25,1990,0.27656457
45.25,8.25,1991,0.24919605
45.25,8.25,1992,0.33742198
45.25,8.25,1993,0.30755138
45.25,8.25,1994,0.30105418
45.25,8.25,1995,0.324329
45.25,8.25,1996,0.31282568
45.25,8.25,1997,0.28207642
45.25,8.25,1998,0.28616077
45.25,8.25,1999,0.32092494
45.25,8.25,2000,0.30454454
45.25,8.25,2001,0.29807323
45.25,8.25,2002,0.36646765
45.25,8.25,2003,0.2255431
45.25,8.25,2004,0.24979822
45.25,8.25,2005,0.29911807
45.25,8.25,2006,0.25819522
45.25,8.25,2007,0.29770938
45.25,8.25,2008,0.3369724
45.25,8.25,2009,0.26658118
45.25,8.25,2010,0.31786585
45.25,8.25,2011,0.29615992
45.25,8.25,2012,0.3079957
45.25,8.25,2013,0.32699051
45.25,8.25,2014,0.35395998
45.25,8.25,2015,0.32718444
45.25,8.25,2016,0.31866127
45.25,8.75,1982,0.30295607
45.25,8.75,1983,0.30597398
45.25,8.75,1984,0.32213598
45.25,8.75,1985,0.28334275
45.25,8.75,1986,0.29707128
45.25,8.75,1987,0.2725172
45.25,8.75,1988,0.3001549
45.25,8.75,1989,0.26227453
45.25,8.75,1990,0.25536132
45.25,8.75,1991,0.24455555
45.25,8.75,1992,0.30039307
45.25,8.75,1993,0.29027945
45.25,8.75,1994,0.30313477
45.25,8.75,1995,0.30637535
45.25,8.75,1996,0.29885536
45.25,8.75,1997,0.26331154
45.25,8.75,1998,0.27247682
45.25,8.75,1999,0.29897386
45.25,8.75,2000,0.28744408
45.25,8.75,2001,0.28123936
45.25,8.75,2002,0.34511867
45.25,8.75,2003,0.22180286
45.25,8.75,2004,0.24900416
45.25,8.75,2005,0.2829685
45.25,8.75,2006,0.25599793
45.25,8.75,2007,0.28231812
45.25,8.75,2008,0.32171157
45.25,8.75,2009,0.25104308
45.25,8.75,2010,0.31111082
45.25,8.75,2011,0.2744391
45.25,8.75,2012,0.28004417
45.25,8.75,2013,0.2991344
45.25,8.75,2014,0.32562938
45.25,8.75,2015,0.29919615
45.25,8.75,2016,0.29426393
45.25,9.25,1982,0.2966134
45.25,9.25,1983,0.294218
45.25,9.25,1984,0.31519347
45.25,9.25,1985,0.2740382
45.25,9.25,1986,0.29302356
45.25,9.25,1987,0.25788343
45.25,9.25,1988,0.30323607
45.25,9.25,1989,0.28011233
45.25,9.25,1990,0.26531786
45.25,9.25,1991,0.23836377
45.25,9.25,1992,0.27793723
45.25,9.25,1993,0.2813573
45.25,9.25,1994,0.288479
45.25,9.25,1995,0.30530348
45.25,9.25,1996,0.288217
45.25,9.25,1997,0.2617622
45.25,9.25,1998,0.26738635
45.25,9.25,1999,0.28026256
45.25,9.25,2000,0.27331996
45.25,9.25,2001,0.2642135
45.25,9.25,2002,0.35080272
45.25,9.25,2003,0.20644459
45.25,9.25,2004,0.24475904
45.25,9.25,2005,0.28501454
45.25,9.25,2006,0.24794555
45.25,9.25,2007,0.27301404
45.25,9.25,2008,0.31291896
45.25,9.25,2009,0.23821568
45.25,9.25,2010,0.32111636
45.25,9.25,2011,0.26301354
45.25,9.25,2012,0.2709506
45.25,9.25,2013,0.29480603
45.25,9.25,2014,0.3312875
45.25,9.25,2015,0.28373107
45.25,9.25,2016,0.308546
45.25,9.75,1982,0.36924976
45.25,9.75,1983,0.35938552
45.25,9.75,1984,0.37378174
45.25,9.75,1985,0.3405814
45.25,9.75,1986,0.35837474
45.25,9.75,1987,0.34168494
45.25,9.75,1988,0.36695996
45.25,9.75,1989,0.37123936
45.25,9.75,1990,0.3491841
45.25,9.75,1991,0.31896338
45.25,9.75,1992,0.34316617
45.25,9.75,1993,0.34541076
45.25,9.75,1994,0.3545569
45.25,9.75,1995,0.37554726
45.25,9.75,1996,0.3564463
45.25,9.75,1997,0.33685106
45.25,9.75,1998,0.3345046
45.25,9.75,1999,0.3515237
45.25,9.75,2000,0.33763513
45.25,9.75,2001,0.34002283
45.25,9.75,2002,0.4099733
45.25,9.75,2003,0.28740406
45.25,9.75,2004,0.33128348
45.25,9.75,2005,0.3626737
45.25,9.75,2006,0.33230126
45.25,9.75,2007,0.353376
45.25,9.75,2008,0.3788424
45.25,9.75,2009,0.31938475
45.25,9.75,2010,0.38150683
45.25,9.75,2011,0.33777183
45.25,9.75,2012,0.34300134
45.25,9.75,2013,0.36409473
45.25,9.75,2014,0.39905602
45.25,9.75,2015,0.34589082
45.25,9.75,2016,0.3798273
45.25,10.25,1982,0.37875694
45.25,10.25,1983,0.36957887
45.25,10.25,1984,0.38166088
45.25,10.25,1985,0.34478283
45.25,10.25,1986,0.36407557
45.25,10.25,1987,0.34767708
45.25,10.25,1988,0.37112513
45.25,10.25,1989,0.383303
45.25,10.25,1990,0.3485365
45.25,10.25,1991,0.329345
45.25,10.25,1992,0.34295997
