lat,lon,year,solar_radiation
45.25,9.75,1996,59186105928.0
45.25,9.75,1997,60731454360.0
45.25,9.75,1998,62200140384.0
45.25,9.75,1999,58479354504.0
45.25,9.75,2000,62155857528.0
45.25,9.75,2001,61923102576.0
45.25,9.75,2002,56934759456.0
45.25,9.75,2003,64847395680.0
45.25,9.75,2004,62312813688.0
45.25,9.75,2005,60625386696.0
45.25,9.75,2006,63857196336.0
45.25,9.75,2007,61202081328.0
45.25,9.75,2008,59173098672.0
45.25,9.75,2009,63456964560.0
45.25,9.75,2010,59001096024.0
45.25,9.75,2011,62474411664.0
45.25,9.75,2012,60863452680.0
45.25,9.75,2013,61877100744.0
45.25,9.75,2014,58805188224.0
45.25,9.75,2015,60127595664.0
45.25,9.75,2016,62301755208.0
45.25,10.25,1982,57718638192.0
45.25,10.25,1983,58534999056.0
45.25,10.25,1984,57054285432.0
45.25,10.25,1985,59108119752.0
45.25,10.25,1986,59673580656.0
45.25,10.25,1987,60650380704.0
45.25,10.25,1988,58348547424.0
45.25,10.25,1989,59499595656.0
45.25,10.25,1990,60535290768.0
45.25,10.25,1991,60955842216.0
45.25,10.25,1992,59645766000.0
45.25,10.25,1993,60397992960.0
45.25,10.25,1994,59295921000.0
45.25,10.25,1995,59859809256.0
45.25,10.25,1996,59231652912.0
45.25,10.25,1997,60467380992.0
45.25,10.25,1998,61823196912.0
45.25,10.25,1999,58379004888.0
45.25,10.25,2000,61884339816.0
45.25,10.25,2001,61467989280.0
45.25,10.25,2002,56910499488.0
45.25,10.25,2003,64272175872.0
45.25,10.25,2004,62033113704.0
45.25,10.25,2005,60149173968.0
45.25,10.25,2006,63152358072.0
45.25,10.25,2007,60777499704.0
45.25,10.25,2008,59190380040.0
45.25,10.25,2009,62689031568.0
45.25,10.25,2010,58718331288.0
45.25,10.25,2011,62280384768.0
45.25,10.25,2012,60838312104.0
45.25,10.25,2013,61390163136.0
45.25,10.25,2014,58455406872.0
45.25,10.25,2015,60013006320.0
45.25,10.25,2016,61937802144.0
45.25,10.75,1982,58117073688.0
45.25,10.75,1983,59259712392.0
45.25,10.75,1984,57113136720.0
45.25,10.75,1985,59427581952.0
45.25,10.75,1986,60412274208.0
45.25,10.75,1987,60769463424.0
45.25,10.75,1988,59057401512.0
45.25,10.75,1989,59216031216.0
45.25,10.75,1990,60823387920.0
45.25,10.75,1991,61023066264.0
45.25,10.75,1992,60352116672.0
45.25,10.75,1993,60817778784.0
45.25,10.75,1994,59718517632.0
45.25,10.75,1995,60079110000.0
45.25,10.75,1996,59675230440.0
45.25,10.75,1997,60748957752.0
45.25,10.75,1998,62152287264.0
45.25,10.75,1999,58858772784.0
45.25,10.75,2000,62274253488.0
45.25,10.75,2001,61816480848.0
45.25,10.75,2002,57366645720.0
45.25,10.75,2003,64330703328.0
45.25,10.75,2004,62337616896.0
45.25,10.75,2005,60344197848.0
45.25,10.75,2006,63040562040.0
45.25,10.75,2007,60886938288.0
45.25,10.75,2008,59703505728.0
45.25,10.75,2009,62688851952.0
45.25,10.75,2010,58958240400.0
45.25,10.75,2011,62776364112.0
45.25,10.75,2012,61320159792.0
45.25,10.75,2013,61529149752.0
45.25,10.75,2014,58827880728.0
45.25,10.75,2015,60462673848.0
45.25,10.75,2016,62207507760.0
45.25,11.25,1982,58320953568.0
45.25,11.25,1983,59847134352.0
45.25,11.25,1984,57079357536.0
45.25,11.25,1985,59821537128.0
45.25,11.25,1986,61077445392.0
45.25,11.25,1987,60767211408.0
45.25,11.25,1988,59741560176.0
45.25,11.25,1989,58926526152.0
45.25,11.25,1990,61078168272.0
45.25,11.25,1991,60963628632.0
45.25,11.25,1992,60996614592.0
45.25,11.25,1993,61249701648.0
45.25,11.25,1994,60216169344.0
45.25,11.25,1995,60213559848.0
45.25,11.25,1996,59981154288.0
45.25,11.25,1997,61028555448.0
45.25,11.25,1998,62388024384.0
45.25,11.25,1999,59323921416.0
45.25,11.25,2000,62632818576.0
45.25,11.25,2001,62119277952.0
45.25,11.25,2002,57797166912.0
45.25,11.25,2003,64394349744.0
45.25,11.25,2004,62505342576.0
45.25,11.25,2005,60546589320.0
45.25,11.25,2006,62920328880.0
45.25,11.25,2007,61059641280.0
45.25,11.25,2008,60175038072.0
45.25,11.25,2009,62759860176.0
45.25,11.25,2010,59198025576.0
45.25,11.25,2011,63224631648.0
45.25,11.25,2012,61792307952.0
45.25,11.25,2013,61737200904.0
45.25,11.25,2014,59244312912.0
45.25,11.25,2015,60917693400.0
45.25,11.25,2016,62398126848.0
45.25,11.75,1982,58421056656.0
45.25,11.75,1983,60518073864.0
45.25,11.75,1984,57615410112.0
45.25,11.75,1985,60415630368.0
45.25,11.75,1986,61864964328.0
45.25,11.75,1987,61160291976.0
45.25,11.75,1988,60317491680.0
45.25,11.75,1989,58931242632.0
45.25,11.75,1990,61672682448.0
45.25,11.75,1991,61162910400.0
45.25,11.75,1992,61898194608.0
45.25,11.75,1993,62101699632.0
45.25,11.75,1994,61070062344.0
45.25,11.75,1995,60602302464.0
45.25,11.75,1996,60652074984.0
45.25,11.75,1997,61697088072.0
45.25,11.75,1998,62763873360.0
45.25,11.75,1999,60166173528.0
45.25,11.75,2000,63273880944.0
45.25,11.75,2001,62515906512.0
45.25,11.75,2002,58677094344.0
45.25,11.75,2003,64863374304.0
45.25,11.75,2004,62857029216.0
45.25,11.75,2005,61178936448.0
45.25,11.75,2006,63260942016.0
45.25,11.75,2007,61885570632.0
45.25,11.75,2008,61081141392.0
45.25,11.75,2009,63171121680.0
45.25,11.75,2010,59980649616.0
45.25,11.75,2011,63863306112.0
45.25,11.75,2012,62790505920.0
45.25,11.75,2013,62558560776.0
45.25,11.75,2014,60002471136.0
45.25,11.75,2015,61822357752.0
45.25,11.75,2016,62820961296.0
45.75,7.75,1982,52540784088.0
45.75,7.75,1983,49440613608.0
45.75,7.75,1984,48891131268.0
45.75,7.75,1985,54881163744.0
45.75,7.75,1986,53639368752.0
45.75,7.75,1987,54050139024.0
45.75,7.75,1988,52935882552.0
45.75,7.75,1989,57071660256.0
45.75,7.75,1990,58865486640.0
45.75,7.75,1991,57262780512.0
45.75,7.75,1992,52369327872.0
45.75,7.75,1993,54651324240.0
45.75,7.75,1994,53621376864.0
45.75,7.75,1995,53258599320.0
45.75,7.75,1996,55202159400.0
45.75,7.75,1997,54823951632.0
45.75,7.75,1998,58300814112.0
45.75,7.75,1999,52301815248.0
45.75,7.75,2000,57438546192.0
45.75,7.75,2001,56348149824.0
45.75,7.75,2002,52475143608.0
45.75,7.75,2003,60745814280.0
45.75,7.75,2004,56742022848.0
45.75,7.75,2005,58528076904.0
45.75,7.75,2006,57971558472.0
45.75,7.75,2007,57206690544.0
45.75,7.75,2008,54685945488.0
45.75,7.75,2009,56499322416.0
45.75,7.75,2010,54338330760.0
